25835000,CB channel 19 down three bands,AM
26225000,Latin American SSB activity,USB
26285000,International calling frequency,USB
26285000,CB channel 19 down two bands,AM
26305000,Truckers North America during band openings,AM
26385000,Truckers taxis.,AM
26405000,Commonly active frequency,AM
26500000,Caribbean activity,LSB
26515000,Active in southern USA,AM
26555000,Mexico Central/South America Caribbean,LSB
26565000,German 80 channel,FM
26585000,Mexican trucker,AM
26605000,Alternate to 26.585,AM
26705000,Puerto Rico Florida and Caribbean,AM
26715000,Alternate to 26.705,AM
26725000,Alternate to 26.705 and 26.715,AM
26735000,CB channel 19 down one band,AM
26755000,Southern USA|,AM
26805000,26 MHz FM calling,FM
26885000,Alternate to 26.915,AM
26905000,Alternate to 26.915,AM
26915000,AM DX channel,AM
27410000,SSB in the USA,LSB
27415000,US calling/working,LSB
27455000,Latin American calling,USB
27505000,Channel 50 US freebanders,LSB
27515000,Jamaica and Caribbean The Knight Patrol,LSB
27555000,DX calling frequency,USB
27635000,Digital modes,USB
27635000,CB channel 19 up one band,AM
27665000,Spanish language,USB
27775000,AM signals,AM
27855000,High band channel 40,AM
